X,Y,Shiyakha,Arabic,Thumn,1907-shiyakha,field_7,field_8,field_9,1917-shiyakha,Village or Sheyakha,field_12,field_13
29.89815,31.19311,El Attarine w. Cicolani,,6,Attarin No. 2,Attarin,,,2. El Attarin West (No. 2),El Attarin,,
29.88694,31.18718,El Sabourah,,4,Sabura,Labban,,,11. El Sabura ,El Labban,,
29.88768,31.18519,Kom el Choukafa el Gouwani w. el Borsa,,5,,,,,,,,
29.89128,31.18933,El Farahdah,,5,Farahda,Labban,,,2. El Farahda,El Labban,13. Warshet el Tubgyia (Haret el Labbana & El Warsha),El Labban
29.89671,31.17786,El Kara w. Charki Kom el Choukafa,,8,,,,,,,7. Kom el Shuqafa No. 1 and No. (2) (2),Mina el Basal
29.88630,31.19242,El Sekka el Guedida w. Forn el Guerayah,,4,Sikket el Gedida,Labban,,,5. El Karasta (El Sikka el Gedida),El Labban,,
29.88405,31.19832,Abou Choucha,أبو شوشة,3,Abu Shusha,Gumruk,,,1. Abu Shusha,El Gumruk,,
29.88583,31.20201,Haret el Chemirli el Charki,الشمرلى,2,Shemirli,Gumruk,,,18. El Shimirli South ,El Gumruk,,
29.96009,31.22952,El Bank w. Ezbet Hussein Pacha,,10,,,,,,,10. El Syuf,Ramleh
29.88044,31.20380,El Haggari,الحجارى,1,Haggari,Gumruk,,,4. El Haggari,El Gumruk,,
29.88786,31.19865,Haret el Magharba,,9,Magharba and Suq el Maaiz,Menshia,,,3. Suq el Miz and El Magharba,El Manshiya ,6. Muharram Bey East,Muharram Bey
29.91617,31.19006,Moharrem Bey,,8,Moharrem Bey,Moharrem Bey,Port of Alexandria,Moharrem Bey,,,11. El Shatbi,Muharram Bey
29.89002,31.19046,Kom Bakir w. el Ibrahimi,,5,Kom Bakir,Labban,,,6. Kom Bakir,El Labban,,
29.91478,31.20643,Lazzaretto No 2,,6,,,,,,,,
29.90249,31.18159,Charki Karmouz,,8,Karmuz Sharqi,Karmuz,,,9. Karmus East,Karmus,6. El Kara el Kabira,Karmus
29.89996,31.18451,Bab Sidra el Barrani II,,8,Bab Sidra Sharqi and Suq el Ghanam * ...,Karmuz,Gama Sultan,Karmuz,1. Bab Sidra East,Karmus,1. El Amud (Amud el Sawari),Mina el Basal
29.91550,31.20039,Bab Charki,,6,Bab el Sharqi,Attarin,,,6. Menash-sha Street (Bab Sharqi),El Attarin,,
29.89092,31.18324,Amoud el Sawari,,8,Amud el Sawari,Miniet el Basal,,,,,,
29.88044,31.20510,El Berka,البركة,1,Haggari and Mawazini,Gumruk,,,3. El Birka (El Haggari & El Mawazin),El Gumruk,,
29.89743,31.19784,Cherif Pacha w. el Messalla,,6,,,,,9. El Raml and Sherif Pasha,El Attarin,,
29.90972,31.19796,Kom el Dikka el Charki,,6,,,,,4. Kom el Dikka East,El Attarin,,
29.94659,31.22952,Bulkeley,,10,,,,,"2. Bulkley, Saba Pasha, Fleming North and Glimenopulo",Ramleh,,
29.88405,31.20483,El Mazar,المزار,1,Mazar,Gumruk,,,9. El Mazar,El Gumruk,,
29.89526,31.19124,Bab Sidra el Gouwani,,5,Nag el Gedid,Labban,,,10. El Nag' el Gadid,El Labban,,
29.88044,31.20185,Charé'h el Bacha,صفر باشا,2,Safar Pasha,Gumruk,,,13. Safar Pasha,El Gumruk,,
