"QUARTIERS BOULEVARDS, RUES, RUELLES, ETC.",HABITATIONS ET LOGEMENTS,POPULATION MASC.,POPULATION FEM.,POPULATION TOTAL
Atfet el Haddadine,1,2,,2
Atfet el Sabbaghine,,,,
Atfet Ratib Pacha,,,,
Atfet Souk Om el Khouloul,2,5,,5
Atfet Souk el Samak,3,5,,5
Charé'h el Karasta,28,37,6,43
Atfet el Saha,,,,
Charé'h Sidi Sabet,6,7,1,8
Charé'h el Kenissa,3,9,95,104
Atfet Mohsen,,,,
Charé'h el Tartouchi,3,5,,5
Charé'h Kom el Nadoura,6,14,6,20
Charé'h Saba' Saharig,6,34,31,65
El Hara el Wassa’a,7,26,22,48
Charé'h Forn el Guerayah el Kadim,4,26,19,45
Atfet Sidi el Akabawi,8,22,6,28
Charé'h el Karantina,12,83,11,94
Haret Karam,15,103,112,215
Charé'h el Goumrouk el Guedid,4,7,9,16
Charé'h Nazir,35,77,52,129
,245,800,579,1379
El Sabourah,,,,
Charé'h el Sabourah,295,1299,1204,2503
,295,1299,1204,2503
El Takhachib w. El Tartouchi,,,,
Charé'h el Takhachib w. el Hara el Wassa'a,310,1336,1067,2403
Charé'h el Tartouchi,184,188,181,369
Charé'h Nazir,79,467,374,841
,573,1991,1622,3613
"LABBANE - Kism 2, t. 5",,,,
El Farahdah,,,,
Haret el Farahdah,96,536,498,1034
Charé'h Sidi Scandar,157,829,779,1608
Charé'h el Choumani,82,395,364,759
Charé'h el Bourdi,32,192,188,380
,367,1952,1829,3781
Bab Sidra el Gouwani,,,,
Charé'h Bab Sidra el Gouwani,266,1703,1528,3231
,265,1703,1528,3231
El Nag,,,,
Haret el Nag,327,1159,1031,2190
Haret el Nag,242,1285,1233,2518
Haret el Nag,74,368,356,724
,643,2812,2620,5432
Kom el Choukafa el Gouwani w. el Borsa,,,,
Kom el Choukafa el Gouwani,135,273,164,437
Kom el Choukafa el Gouwani w. el Borsa,75,624,321,945
,210,897,485,1382
El Gueneina el Kobra,,,,
Charé'h el Gueneina el Kobra,126,163,289,452
Charé'h Kism Minet el Bassal,58,181,203,384
Charé'h Souk el Me’iz,97,595,529,1124
Charé'h el Manchieh el Soghra,9,71,72,143
Charé'h Abou el Derdar,78,481,262,743
Charé'h el Attarine,20,81,78,159
,388,1572,1433,3005
Gueneinet el Eiouni,,,,
Haret el Soukounieh,235,454,420,874
Haret Gueneinet el Eiouni,145,994,909,1903
Sans résidence fixe,,53,,53
,380,1501,1329,2830
Kom Bakir w. el Ibrahimi,,,,
Charé'h el Ibrahimi,198,1254,807,2061
Charé'h Kom Bakir,116,46,142,188
Haret el Gueneina el Soghra,60,84,105,189
,374,1384,1054,2438
"ATTARINE - Kism 3, t. 6",,,,
