No.,Districts ,MASC.,FEM.,TOTAL,"Subdivisions: Boulevards, Rues, Ruelles, etc.",Subdivisions: Habitations et Locaux Recensés,Nationalities: Égyptiens Total,Nationalities: Étrangers Total,Nationalities: Grece,Nationalities: Italie,Nationalities: France,Nationalities: Grande-Bertagne,Nationalities: Allemegne,Nationalities: Russie ,Nationalities: Austriche-Hongrie ,Nationalities: Autres pays,Religion: Musulmans Total,Religion: Christian: Chretiens Total,Religion: Christian: Cophtes,Religion: Christian: Orthodoxes,Religion: Christian: Catholiques,Religion: Christian: Protestants,Religion: Israelites Total,Religion: Divers Total,Literacy: Male: Sachant Lire et Écrire,Literacy: Male: Illettrés,Literacy: Female: Sachant Lire et Écrire,Literacy: Female: Illettrées,Profession: Male: Diverses Professions,Profession: Male: Sans Profession,Profession: Female: Diverses Professions,Profession: Female: Sans Professions
,El Toubguieh,1091,968,2059,12,347,2057,2,1,,1,,,,,,1979,80,79,1,,,,,73,1018,1,967,701,390,37,931
,El Kara w. Charki Kom el Choukafa,1397,1458,2855,11,328,2815,40,7,7,12,8,,,6,,2792,55,29,9,17,,8,,138,1259,10,1448,870,527,77,1381
,El Toubguieh w. Bahri Kom el Choukafa,1843,1811,3654,15,400,3633,21,7,2,11,1,,,,,3606,46,16,27,3,,2,,181,1662,47,1764,1141,702,62,1749
,Bab Sidra el Barrani II,2025,2077,4102,16,450,3995,107,42,16,7,5,,,34,3,3804,292,74,145,60,13,6,,163,1862,43,2034,1332,693,203,1874
1,TOTAL MOHARREM BEY 22. MINET Bassal,37459,36678,73137,258,7502,70743,3394,895,845,710,428,40,34,253,189,67188,5845,1915,1698,1943,289,1085,19,6121,31381,2035,34643,23063,14396,1636,35042
,El Hamamil ,2454,1990,4444,7,345,2480,1964,627,995,34,111,58,28,82,28,1910,1927,64,722,1092,49,606,1,1147,1307,623,1367,1547,907,257,1733
,El Set Ne'emah,2584,2523,5107,13,397,2619,2488,759,1050,191,214,23,29,182,40,2091,2741,55,884,1743,59,275,,1092,1492,820,1703,1632,952,437,2086
,Haret el Magharba,4119,3233,7352,34,413,4145,3207,1632,494,485,289,20,86,108,93,2560,3068,37,2078,914,39,1724,,1731,2388,950,2283,2776,1343,242,2991
,Karakol el Labbane,2237,2123,4360,9,384,2833,1527,317,599,54,413,,23,112,9,2600,1619,55,312,1161,91,141,,566,1671,311,1812,1584,653,190,1933
8,Total El Manchieh,11394,9869,21263,63,1589,12077,9186,3335,3139,764,1027,101,166,484,170,9161,9355,211,3996,4910,238,2746,1,4536,6858,2704,7165,7539,3855,1126,8743
,Ezbet Achour w. Abdallah,362,395,757,1,104,675,82,35,10,1,22,,,9,4,647,99,16,45,38,,11,,27,335,20,375,179,183,13,382
,El Kossayi w. Rommana,274,397,571,1,70,485,86,68,3,4,11,,,,,472,99,6,74,18,1,,,26,248,28,269,140,134,5,292
,El Bank w. Ezbet Hussein Pacha,30,27,57,1,10,51,6,,,,5,,,1,,49,8,,1,2,5,,,4,26,3,24,21,9,,27
,Bulkeley,498,478,976,1,149,310,666,159,173,30,203,14,,66,21,205,658,6,140,389,123,113,,292,206,398,180,328,170,110,368
,Fleming,245,324,569,1,82,268,301,31,95,55,61,8,3,28,20,184,360,9,38,259,54,24,1,134,111,182,142,165,80,51,273
,Bacos w. El Souk,817,540,1357,1,213,693,664,203,188,69,120,11,1,40,32,546,801,3,225,533,40,2,8,404,413,239,301,551,266,165,375
,Seffer,202,281,483,1,55,285,198,96,25,16,26,12,1,6,16,283,200,,93,70,37,,,63,139,87,194,106,96,45,236
,Schutz,342,415,757,1,125,168,589,351,59,48,59,25,11,14,22,115,637,1,397,183,56,1,4,245,97,228,187,208,134,106,309
,San Stefano,180,182,362,1,46,140,222,119,5,7,39,7,,31,14,115,247,,138,60,49,,,88,92,99,83,120,60,65,117
,Ezbet Ghobrial w. Sallam,148,179,327,1,46,327,,,,,,,,,,311,16,16,,,,,,7,141,,179,76,72,4,175
,Dar Issa w. El Siouf,372,370,742,1,87,742,,,,,,,,,,742,,,,,,,,4,368,,370,156,216,,370
,Haret el Chokhchokh,410,357,767,1,67,746,21,12,5,2,2,,,,,720,41,3,9,9,,6,,6,404,,357,176,234,,357
,Abou el Nawatir,828,109,937,1,60,75,862,9,15,7,826,,,1,4,60,877,9,10,10,757,,,768,60,54,55,773,55,2,107
,Hagar el Nawatieh,351,324,675,1,131,662,13,,,,13,,,,,661,14,,1,1,,,,39,312,7,317,194,157,1,323
,El Dahrieh,799,855,1654,1,202,1647,7,,4,1,2,,,,,1637,17,8,2,2,,,,17,782,1,854,387,412,5,850
,El Aksa,1448,1374,2822,1,118,2681,141,28,45,17,30,,1,4,16,2563,248,20,34,34,3,11,,146,1302,56,1318,799,649,17,1357
,Campements (Bedouins),531,531,1062,,,1062,,,,,,,,,,1062,,,,,,,,2,529,,531,,531,,537
10,Total Ramleh,7837,7038,14875,16,1565,11047,3858,1112,627,257,1419,77,17,200,149,10372,4322,97,1207,1893,1125,168,13,2272,5565,1302,5736,4379,3458,589,6449
,Navires a vapeur,1764,154,1918,,42,639,1279,63,98,42,574,15,121,186,180,692,1202,17,185,504,496,2,22,1286,478,15,139,1.72,44,10,144
,Batiments a voiles,699,194,893,,79,793,100,82,14,,3,,,1,,607,286,13,248,22,3,,,143,556,,194,622,77,,194
12,Total Port,2463,348,2811,0,121,1432,1379,145,112,42,577,15,121,187,180,1299,1488,30,433,526,499,2,22,1429,1034,15,333,2.342,121,10,338
,Station gardes-cetes Ramleh,42,39,81,,,67,14,,,,8,,,6,,53,28,14,,14,,,,13,29,7,32,26,16,,39
,Sidi Bechr,35,46,81,,,81,,,,,,,,,,81,,,,,,,,5,30,,24,24,11,3,43
,El Kharban,18,11,29,,,29,,,,,,,,,,23,6,6,,,,,,2,16,,6,6,12,,11
,El Mandara,525,501,1026,,112,1026,,,,,,,,,,1026,,,,,,,,34,491,1,372,372,153,2,499
,Ezbet Marzouk,103,85,188,,26,188,,,,,,,,,,186,2,2,,,,,,3,100,,53,53,50,1,84
,Ezbet Zayan,149,184,333,,44,333,,,,,,,,,,33,,,,,,,,,149,,115,115,34,,184
,Ezbet Abdallah,72,65,137,,20,137,,,,,,,,,,136,1,1,,,,,,3,69,,49,49,23,,65
,El Kharaba,276,284,560,,68,560,,,,,,,,,,560,,,,,,,,1,275,,182,182,94,1,283
,El Montazah (Palais),92,117,209,,33,204,5,,,,5,,,,,200,9,4,,,5,,,38,54,5,71,71,21,,117
,El Montazah (Ezbeh),64,49,113,,34,113,,,,,,,,,,113,,,,,,,,,64,,64,64,,,49
,Aboukir,590,578,1168,,156,1163,5,5,,,,,,,,1149,19,12,7,,,,,36,554,2,403,403,187,1,577
,Campements (Bedouins),406,388,794,,,794,,,,,,,,,,794,,,,,,,,1,405,,,,406,,388
11,Total Environs,2372,2347,4719,0,493,4695,24,5,0,0,13,0,0,6,0,4654,65,39,7,14,5,0,0,136,2236,15,1371,1365,1007,8,2339
