Shiyakha,Thumn,Male Inhabitants,Female Inhabitants,Inhabitants,Female %,"Boulevards, Rues, Ruelles, etc.",Habitations  et Locaux Recensés,Persons per Residence,% Egyptian,% foreign,Égyptiens Total,Étrangers Total,Grece,Italie,France,Grande-Bertagne,Allemagne,Russie ,Austriche-Hongrie ,Autres pays,Musulmans  Total,Non-Muslim %,Non-Muslims Total,sum of non-Muslims,error?,Copts as % of Christians,Catholics as % of Christians,Jews as % of non-Muslims,Chretiens Total,Cophtes,Orthodoxes,Catholiques,Protestants,Israelites Total,Divers Total,Male Sachant Lire et Écrire,Male Illettrés,Female literacy,Female Sachant Lire et Écrire,Female Illettrées,% of Men without profession,Male Diverses Professions,Male San Profession,Female Diverses Professions,Female Sans Professions
Kom Bakir w. el Ibrahimi,5,1384,1054,2438,43.2,3,374,6.5,59.4,40.6,1448,990,168,315,35,359,,,,1,1280,47.5,1158,1158,0,12.7,68.9,1.9,1136,144,174,783,35,22,,613,771,25.1,265,789,21.1,1092,292,81,973
El Messalla w. Bab Charki,6,1518,1162,2680,43.4,4,282,9.5,56.8,43.2,1523,1157,732,203,57,75,12,,62,16,1153,57,1527,1527,0,3.7,35.4,18.4,1246,46,711,441,48,281,,622,896,28.1,327,835,34.3,998,520,158,1004
Lazzaretto No 2,6,1314,1226,2540,48.3,5,319,8,95.2,4.8,2418,122,67,42,4,3,1,,4,1,2313,8.9,227,227,0,34.5,25.5,3.1,220,76,86,56,2,7,,89,1225,2,24,1202,45.9,711,603,44,1182
El Souri bel Attarine,6,2150,1965,4115,47.8,1,405,10.2,72.5,27.5,2984,1131,581,365,61,52,11,3,41,17,2088,49.3,2027,2018,9,4.4,49.1,2.8,1964,86,880,965,24,56,7,832,1318,15.4,302,1663,40.1,1287,863,160,1805
El Messalla w. Charé'h el Ramleh,6,1147,1062,2209,48.1,3,256,8.6,42,58,927,1282,740,188,50,128,28,10,125,13,677,69.4,1532,1532,0,4.6,25.8,9.2,1391,64,875,359,93,141,,504,643,36.3,385,677,47,608,539,404,658
Bab Charki,6,1187,1053,2240,47,3,180,12.4,81.3,18.8,1820,420,129,71,68,60,14,6,57,15,1766,21.2,474,474,0,1.8,39.3,17.3,392,7,193,154,38,82,,324,863,20.6,217,836,40.8,703,484,192,861
El Attarine w. Cicolani,6,3399,3290,6689,49.2,4,594,11.3,39.5,60.5,2640,4049,1520,1561,253,292,31,16,332,44,1261,81.1,5428,5428,0,3.2,57,5.2,5135,163,1949,2929,97,282,8,1806,1593,39.1,1286,2004,41.9,1975,1424,1036,2254
Kom el Dikka el Gharbi,6,2048,2086,4134,50.5,2,385,10.7,83.7,16.3,3461,673,173,205,64,59,14,,95,63,3247,21.5,887,887,0,10.5,47.9,27.1,647,68,236,310,33,240,,453,1595,14.7,307,1779,41.7,1193,855,146,1940
El Attarine,6,2513,2266,4779,47.4,13,319,15,56.8,43.2,2714,2065,790,623,142,193,11,14,246,46,2283,52.2,2496,2496,0,1.1,49.6,12,2197,24,989,1090,94,299,,1041,1472,36.2,821,1445,31.5,1721,792,428,1838
Lazzaretto No 1,6,1264,1221,2485,49.1,4,311,8,98.5,1.5,2448,37,35,,2,,,,,,2387,3.9,98,98,0,35.6,7.8,8.2,90,32,51,7,,8,,61,1203,0.7,9,1212,34.9,823,441,78,1143
Cherif Pacha w. el Messalla,6,3186,2676,5862,45.6,6,395,14.8,35.2,64.8,2066,3796,1529,688,424,389,69,48,449,200,1236,78.9,4626,4626,0,5.6,43,7.7,4254,238,1796,1831,389,358,14,1894,1292,62.5,1673,1003,33.3,2124,1062,636,2040
Kom el Dikka el Charki,6,1604,1554,3158,49.2,1,245,12.9,92.1,7.9,2909,249,79,55,24,28,,1,15,47,2823,10.6,335,335,0,5.5,52.4,17.9,275,15,107,144,9,60,,311,1293,6,93,1461,38.2,991,613,72,1482
Tabiet Saleh,7,1891,1827,3718,49.1,6,354,10.5,98.8,1.2,3673,45,23,3,8,11,,,,,3641,2.1,77,77,0,44.4,8.3,6.5,72,32,23,6,11,5,,123,1768,0.6,11,1816,34.7,1234,657,100,1727
El Mafrouza,7,2015,1641,3656,44.9,3,412,8.9,99.7,0.3,3645,11,11,,,,,,,,3583,2,73,73,0,81.2,0,5.5,69,56,13,,,4,,156,1859,0,,1641,34.6,1318,697,51,1590
Kafret el Arab,7,1643,1412,3055,46.2,5,389,7.9,99.3,0.7,3034,21,16,1,3,1,,,,,2923,4.3,132,67,65,59.6,10.5,14.9,57,34,17,6,,10,,34,1609,0,,1412,31.8,1121,522,140,1272
Bab el Gabbari,7,3122,3060,6182,49.5,33,609,10.2,98,2,6056,125,81,,13,25,,,7,,5923,4.2,259,259,0,38.2,18.9,3.9,249,95,89,47,18,10,,399,2723,1.7,51,3009,35.3,2020,1102,161,2899
El Mex,7,1206,921,2127,43.3,1,283,7.5,93.9,6.1,1997,130,16,52,24,37,1,,,,1909,10.2,218,218,0,33.3,35.6,0.5,219,73,37,78,29,1,,123,1083,6.6,61,860,30.5,838,368,15,906
Kafr Achri,7,1786,1630,3416,47.7,17,293,11.7,99.5,0.5,3398,18,,,18,,,,,,3370,1.3,46,46,0,100,0,0,46,46,,,,,,391,1395,2.2,36,1594,29,1268,518,106,1524
Kafr Achri el Awadi,7,1459,1236,2695,45.9,19,386,7,96.9,3.1,2612,83,50,6,16,11,,,,,2573,4.5,122,128,-6,29.8,20.7,0.8,121,36,65,25,1,1,,282,1177,3.4,42,1194,28.9,1038,421,71,1165
El Gabbari,7,1847,1704,3551,48,24,376,9.4,99.5,0.5,3535,16,2,11,,3,,,,,3456,2.7,95,95,0,63.2,23,8.4,87,55,9,20,3,8,,198,1649,1.8,30,1674,32.2,1253,594,102,1602
El Dekheila,7,1220,1030,2250,45.8,1,244,9.2,97.6,2.4,2196,54,19,7,24,,,,4,,2181,3.1,69,69,0,33.9,30.4,18.8,56,19,20,17,,13,,68,1150,4.6,47,983,36,781,439,60,970
Souk el Wardian,7,1550,1500,3050,49.2,6,357,8.5,98.5,1.5,3003,47,14,5,28,,,,,,3020,1,30,31,-1,31,24.1,3.2,29,9,14,7,,1,,51,1499,1.3,20,1480,45.5,844,706,28,642
Amoud el Sawari,8,2161,1724,3885,44.4,24,428,9.1,99.1,0.9,3850,35,12,5,,16,,,2,,3792,2.4,93,93,0,62.4,7.5,0,93,58,23,7,5,,,349,1862,0.9,15,1709,28.4,1547,614,20,1704
Charki Bab el Guedid,8,2983,2915,5898,49.4,13,718,8.2,81.3,18.7,4793,1105,202,302,315,119,25,8,69,65,3841,34.9,2057,2057,0,17.5,42,29.4,1449,253,507,609,80,604,4,1025,1958,24.1,702,2213,45.1,1639,1344,241,2674
Bab Omar Pacha,8,4013,3787,7800,48.6,18,559,14,98.3,1.7,7665,135,98,17,4,,,,12,4,7187,7.9,613,613,0,52.7,11.2,1.3,605,319,217,68,1,8,,606,3407,0.4,17,3770,40.3,2395,1618,92,3695
